Name,Location Lat,Location Lon,Hours M,Hours T,Hours W,Hours R,Hours F,Hours S,Hours U,Deals M,Deals T,Deals W,Deals R,Deals F,Deals S,Deals U,Deals Other,Description,Website,Link to Logo,
Jack's Cabin,40.737508,-74.041373,11:30 AM - 12 AM,11:30 AM - 12 AM,11:30 AM - 12 AM,11:30 AM - 1 AM,11:30 AM - 2 AM,11 AM - 2 AM,11 AM - 12 AM,,,,,,,,,,,,
Las Olas,40.752986,-74.025878,4 PM - 10 PM,4 PM - 10 PM,4 PM - 10 PM,12 PM - 11 PM,12 PM - 11:30 PM,11 AM - 11:30 PM,11 AM - 10 PM,,,,,,,,,,,,
Louise & Jerry's ,40.740928,-74.029672,1 PM - 2 AM,1 PM - 2 AM,1 PM - 2 AM,1 PM - 2 AM,1 PM - 3 AM,1 PM - 3 AM,1 PM - 2 AM,,,,,,,,,,,,
The Madison Bar & Grill,40.753183,-74.026399,11:30 AM - 2 AM,11:30 AM - 2 AM,11:30 AM - 2 AM,11:30 AM - 2 AM,11:30 AM - 3 AM,11 AM - 3 AM,10 AM - 2 AM,,,,,,,,,,,,
Marty O'Brien's ,40.73756,-74.031891,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 3 AM ,10 AM - 3 AM,10 AM - 2 AM,,,,,,,,,,,,
Maxwell's Tavern,40.749702,-74.026933,5 PM - 12 AM,5 PM - 12 AM,5 PM - 12 AM,5 PM - 2 AM,5 PM - 2 AM,11 AM - 2 AM,11 AM - 12 AM,,Trivia & Open Mic Night,,,Happy Hour 5-8,,,,,,,
McSwiggin's Pub,40.737699,-74.031435,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 2 AM ,11:30 AM - 3 AM,11:30 AM - 3 AM,4 PM - 2 AM ,,,,,,,,,,,,
Mikie Squared Bar & Grill,40.744042,-74.029082,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 3 AM,10 AM - 3 AM,10 AM - 2 AM,,,,,,,,,,,,
Mills Tavern,40.738241,-74.030315,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 3 AM ,11 AM - 3 AM,11 AM - 2 AM,,,,,,,,,,,,
Mulligan's Pub,40.737562,-74.032268,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 3 AM ,4 PM - 3 AM ,4 PM - 2 AM ,,,,,,,,,,,,
Nag's Head,40.738213,-74.035911,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 3 AM ,4 PM - 3 AM ,4 PM - 2 AM ,,,,,,,,,,,,
Onieals ,40.741626,-74.032283,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 3 AM,11 AM - 3 AM,11 AM - 2 AM,,,,,,,,,,,,
Pier 13 (Seasonal),40.739617,-74.027007,Closed,Closed,Closed,Closed,Closed,Closed,Closed,,,,,,,,,Seasonal. ,,,
Pilsner Haus & Biergarten,40.755317,-74.031432,4 PM - 2 AM ,3 PM - 2 AM ,4 PM - 2 AM ,4 PM - 2 AM ,3 PM - 2:30 AM ,12 PM - 2:30 AM ,12 PM - 2 AM ,,50% Off Menu Night,Trivia; 50% off Mussels,,,,,,,,,
Scotland Yard,40.735453,-74.030351,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 3 AM ,4 PM - 3 AM ,4 PM - 2 AM ,,,,,,,,,,,,
Sushi Lounge ,40.738682,-74.029649,11:30 AM - 11:30 PM,11:30 AM - 11:30 PM,11:30 AM - 11:30 PM,11:30 AM - 12 PM,11:30 AM - 1 AM,12 PM - 1 AM,12 PM - 11:30 PM,,,,,,,,,,,,
Tally-Ho,40.739187,-74.030182,Closed,4 PM - 1:30 AM,4 PM - 1:30 AM,4 PM - 1:30 AM,4 PM - 1:30 AM,11 AM - 2:30 AM,11 AM - 2:30 AM,,,,,,,,,,,,
Texas Arizona,40.736061,-74.029435,11:30 AM - 2 AM,11:30 AM - 2 AM,11:30 AM - 2 AM,11:30 AM - 2 AM,11:30 AM - 3 AM,11 AM - 3 AM,11 AM - 2 AM,,,,,,,,,,,,
The Ainsworth,40.739957,-74.027103,11 AM - 1 AM,11 AM - 1 AM,11 AM - 1 AM,11 AM - 1 AM,11 AM - 2 AM,10 AM - 2 AM,10 AM - 1 AM,,,,,,,,,,,,
The Ale House,40.750254,-74.031119,5 PM - 2 AM ,5 PM - 2 AM ,5 PM - 2 AM ,5 PM - 2 AM ,5 PM - 3 AM ,1 PM - 3 AM,2 PM - 12 AM,,,,,,,,,,,,
The Shannon,40.737688,-74.031338,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 3 AM ,12 PM - 3 AM ,12 PM - 2 AM ,,,,,,,,,,,,
The Shepherd & The Knucklehead,40.753231,-74.029492,3 PM - 2 AM ,3 PM - 2 AM ,3 PM - 2 AM ,3 PM - 2 AM ,3 PM - 3 AM ,11 AM - 3 AM,11 AM - 2 AM,,,,,,,,,,,,
The Stewed Cow,40.74255,-74.03636,5 PM - 2 AM ,5 PM - 2 AM ,5 PM - 2 AM ,5 PM - 2 AM ,5 PM - 3 AM ,11 AM - 3 AM,11 AM - 2 AM,,,,,,,,,,,,
The Turtle Club,40.748877,-74.030511,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 2 AM ,4 PM - 3 AM ,12 PM - 3 AM ,12 PM - 2 AM ,,,,,,,,,,,,
Urban Coalhouse Pizza & Bar,40.75354,-74.02669,11 AM - 12 AM,11 AM - 12 AM,11 AM - 12 AM,11 AM - 12 AM,11 AM - 1 AM,11 AM - 1 AM,11 AM - 12 AM,,,,,,,,,,,,
Village Pourhouse,40.737722,-74.033201,5 PM - 2 AM ,5 PM - 2 AM ,5 PM - 2 AM ,5 PM - 2 AM ,5 PM - 2 AM ,11 AM - 2 AM,11 AM - 2 AM,,,,,,,,,,,,
Wicked Wolf Tavern,40.73804,-74.027594,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 3 AM,11 AM - 3 AM,11 AM - 2 AM,,$2 Sliders Night,,All Night Happy Hour,Happy Hour ,,,,,,,
Willie McBride's ,40.745148,-74.034688,4 PM - 2 AM,4 PM - 2 AM,4 PM - 2 AM,4 PM - 2 AM,11 AM - 3 AM,11 AM - 3 AM,11 AM - 2 AM,,,,,,,,,,,,
Zack's Oak Bar & Restaurant ,40.740578,-74.033962,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 2 AM,11 AM - 3 AM,10 AM - 3 AM,10 AM - 10 PM,,,,,,,,,,,,
